"ASSET","COUNT","DEP","EQNM","ID","LNRENRES","NETINC","STNAME","YEAR"
1203799741,546,975894849,113073725,"SI_2024_USA",102534950,8809798,"United States & Other Areas","2024"
1215318284,560,981664785,103032694,"SI_2023_USA",95452576,8815910,"United States & Other Areas","2023"
1280291993,579,1081971257,92746499,"SI_2022_USA",96386828,12913619,"United States & Other Areas","2022"
1518779262,607,1286836513,146679875,"SI_2021_USA",97961700,15960495,"United States & Other Areas","2021"
1377928851,627,1139336074,134267848,"SI_2020_USA",98372055,10664006,"United States & Other Areas","2020"
1153909111,659,921025698,124980103,"SI_2019_USA",96510914,15173878,"United States & Other Areas","2019"
1214890126,691,967743272,130515805,"SI_2018_USA",106712247,14709579,"United States & Other Areas","2018"
1197528280,752,931621527,128741636,"SI_2017_USA",106041155,12599400,"United States & Other Areas","2017"
1151900278,801,912251387,124999312,"SI_2016_USA",100610753,13823959,"United States & Other Areas","2016"
1074447339,844,840520243,118519746,"SI_2015_USA",92590110,11542528,"United States & Other Areas","2015"
1079070863,902,825270694,126770235,"SI_2014_USA",95368064,12057462,"United States & Other Areas","2014"
1057733803,965,806376744,124252448,"SI_2013_USA",96451147,11201870,"United States & Other Areas","2013"
1062904522,1011,805379084,126856353,"SI_2012_USA",95784128,11000763,"United States & Other Areas","2012"
1240876663,1082,927529382,147005498,"SI_2011_USA",107292861,8229340,"United States & Other Areas","2011"
1249480356,1139,905285036,146657333,"SI_2010_USA",111641046,8059003,"United States & Other Areas","2010"
1259995821,1183,890195106,135609271,"SI_2009_USA",108800848,1655588,"United States & Other Areas","2009"
1504529737,1228,943474963,141147398,"SI_2008_USA",110086856,-6176438,"United States & Other Areas","2008"
1852033584,1255,1101505469,203856776,"SI_2007_USA",103043918,2305752,"United States & Other Areas","2007"
1764112666,1283,1089572066,217351215,"SI_2006_USA",92705464,16957823,"United States & Other Areas","2006"
1832320745,1310,1063801533,205745863,"SI_2005_USA",86328141,19850034,"United States & Other Areas","2005"
1687279645,1348,987990039,188655546,"SI_2004_USA",84186051,18200233,"United States & Other Areas","2004"
1474652909,1414,925676726,138812332,"SI_2003_USA",79454993,18054777,"United States & Other Areas","2003"
1359014021,1467,878713358,128613888,"SI_2002_USA",71608542,15244166,"United States & Other Areas","2002"
1314783437,1533,811869775,113265641,"SI_2001_USA",63649375,12861545,"United States & Other Areas","2001"
1217338322,1589,735192970,102920597,"SI_2000_USA",58596719,10705211,"United States & Other Areas","2000"
1148524478,1642,706980467,94946854,"SI_1999_USA",53230088,10875054,"United States & Other Areas","1999"
1088420550,1690,704869347,94523676,"SI_1998_USA",47657037,10148955,"United States & Other Areas","1998"
1026185505,1780,704136219,89332548,"SI_1997_USA",47352225,8801946,"United States & Other Areas","1997"
1029019261,1926,727922862,85845961,"SI_1996_USA",50070103,7024071,"United States & Other Areas","1996"
1025788336,2031,741906813,86053772,"SI_1995_USA",50510119,7619183,"United States & Other Areas","1995"
1010254166,2153,737180521,79934917,"SI_1994_USA",52252284,6361630,"United States & Other Areas","1994"
1004265724,2263,774185203,78421112,"SI_1993_USA",56314854,6843650,"United States & Other Areas","1993"
1035154505,2391,828407386,74349899,"SI_1992_USA",62305220,6698817,"United States & Other Areas","1992"
1119509895,2562,906739838,68628127,"SI_1991_USA",75624029,838362,"United States & Other Areas","1991"
1267058594,2816,987241866,67534827,"SI_1990_USA",91025326,-4722723,"United States & Other Areas","1990"
1437046437,3088,1082347699,69371065,"SI_1989_USA",106321013,-5582440,"United States & Other Areas","1989"
1628170300,3438,1194769364,66118801,"SI_1988_USA",118693382,-4708688,"United States & Other Areas","1988"
1502110585,3622,1137819400,53754308,"SI_1987_USA",112122465,-5340899,"United States & Other Areas","1987"
1386866491,3677,1083166920,55377107,"SI_1986_USA",101253263,2835686,"United States & Other Areas","1986"
1262654097,3626,1022739280,44385776,"SI_1985_USA",89659161,5530717,"United States & Other Areas","1985"
1144246523,3418,944732761,34670596,"SI_1984_USA",101321870,1151937,"United States & Other Areas","1984"